id,1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],Country Name,Series Code,Series Name
114990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.72211477,,,India,allsi.cov_pop,(%) Program participation - All Social Insurance
114991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.98927274,,,India,allsp.cov_pop,(%) Program participation - All Social Protection
114992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.40343153,,,India,allsa.cov_pop,(%) Program participation - All Social Safety Nets
114993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.99549317,,,India,lm_ub.cov_pop,(%) Program participation - Unemp benefits and ALMP
114994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.66854168,,,India,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)"
114995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.60153979,,,India,PA.NUS.PRVT.PP.05,"2005 PPP conversion factor, private consumption (LCU per international $)"
114996,,,,,,,,,,,,,,,,,,,,,,68.6,,,,,,66.6,,,,,,,69,,India,SH.STA.ARIC.ZS,ARI treatment (% of children under 5 taken to a health provider)
114998,,,,,,,,,,,,,,,,,,,0.7824938,,,,,,,,,,0.8563843,0.8571408,0.8565256,0.9079991,,,,0.990938,India,2.1,Achieve universal primary education
114999,,,,,,,,,,,,,,,,,,,66.11141,,,,,,,,,,77.90078,78.75435,79.28618,89.22467,,,,,India,SE.PRM.TENR.FE,"Adjusted net enrollment rate, primary, female (% of primary school age children)"
115000,,,,,,,,,,,,,,,,,,,89.52264,,,,,,,,,,92.73536,92.07028,91.44681,92.22992,,,,,India,SE.PRM.TENR.MA,"Adjusted net enrollment rate, primary, male (% of primary school age children)"
115001,-0.669789487,2.313600452,-1.531138241,6.592208475,1.816199628,8.833188036,5.375701977,-8.173137989,6.561527035,6.422453939,2.298326161,10.69868768,2.234875568,5.453018868,6.64784345,3.486370102,9.03933477,5.472698883,4.630019655,0.783615765,6.5674783,7.227350865,8.110888609,6.432563455,4.651519103,8.66997566,7.569193023,7.966891124,2.38400479,4.399834183,3.464773324,8.173692145,5.98102856,9.44585735,8.802325192,10.0513843,India,NY.ADJ.NNTY.KD.ZG,Adjusted net national income (annual % growth)
115002,1.39628E+11,1.42859E+11,1.40671E+11,1.49945E+11,1.52668E+11,1.66153E+11,1.75085E+11,1.60775E+11,1.71325E+11,1.82328E+11,1.86518E+11,2.06473E+11,2.11088E+11,2.22598E+11,2.37396E+11,2.45673E+11,2.6788E+11,2.8254E+11,2.95622E+11,2.97938E+11,3.17506E+11,3.40453E+11,3.68066E+11,3.91743E+11,4.09965E+11,4.45508E+11,4.7923E+11,5.1741E+11,5.29745E+11,5.53052E+11,5.72214E+11,6.18986E+11,6.56007E+11,7.17973E+11,7.81171E+11,8.5969E+11,India,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2005 US$)
115003,65633292775,78283228319,90299506611,87729037274,91154009695,1.08149E+11,1.22832E+11,1.33617E+11,1.64146E+11,1.69128E+11,1.72933E+11,1.90805E+11,1.84749E+11,2.02127E+11,2.1725E+11,2.43549E+11,2.57368E+11,2.56661E+11,2.77982E+11,2.31632E+11,2.48616E+11,2.43376E+11,2.87103E+11,3.14376E+11,3.37291E+11,3.66987E+11,3.74001E+11,4.09316E+11,4.13649E+11,4.27725E+11,4.56751E+11,5.35581E+11,6.2272E+11,7.17973E+11,8.12254E+11,1.06229E+12,India,NY.ADJ.NNTY.CD,Adjusted net national income (current US$)
